state,office,district,candidate_medsl,candidate_harvard,party_detailed,issue,writein,fixed error?
FLORIDA,STATE HOUSE,120,STATE REPRESENTATIVE DIST 120,,,yes,,
FLORIDA,STATE SENATE,15,MIKE JAMES,MIKE JAMES,INDEPENDENT,,,
FLORIDA,STATE SENATE,17,PHILLIP SNYDER,PHILLIP SNYDER,UNAFFILIATED,,,
FLORIDA,STATE SENATE,19,CHRISTINA PAYLAN,CHRISTINA PAYLAN,NO PARTY AFFILIATION,,,
FLORIDA,STATE SENATE,23,ROBERT KAPLAN,ROBERT KAPLAN,NO PARTY AFFILIATION,,,
FLORIDA,STATE SENATE,37,ALEX RODRIGUEZ,ALEX RODRIGUEZ,NO PARTY AFFILIATION,,,
FLORIDA,STATE SENATE,39,CELSO D ALFONSO,CELSO D. ALFONSO,NO PARTY AFFILIATION,,,
FLORIDA,STATE SENATE,001,DOUGLAS V BROXSON,DOUGLAS V. BROXSON,REPUBLICAN,,,
FLORIDA,STATE SENATE,001,KAREN M BUTLER,KAREN M. BUTLER,DEMOCRAT,,,
FLORIDA,STATE SENATE,001,STATE SENATOR DISTRICT 1,,,yes,,
FLORIDA,STATE SENATE,007,HEATHER HUNTER,HEATHER HUNTER,DEMOCRAT,,,
FLORIDA,STATE SENATE,007,TRAVIS J HUTSON,TRAVIS J. HUTSON,REPUBLICAN,,,
FLORIDA,STATE SENATE,011,STATE SENATOR DISTRICT 11,,,yes,,
FLORIDA,STATE SENATE,013,STATE SENATOR DISTRICT 13,,,yes,,
FLORIDA,STATE SENATE,015,MIKE JAMES,MIKE JAMES,INDEPENDENT,,,
FLORIDA,STATE SENATE,015,STATE SENATOR DISTRICT 15,,,yes,,
FLORIDA,STATE SENATE,017,PHILLIP SNYDER,PHILLIP SNYDER,UNAFFILIATED,,,
FLORIDA,STATE SENATE,020,DANNY BURGESS,DANNY BURGESS,REPUBLICAN,,,
FLORIDA,STATE SENATE,020,KATHY LEWIS,KATHY LEWIS,DEMOCRAT,,,
FLORIDA,STATE SENATE,020,STATE SENATORDISTRICT 20,,,yes,,
FLORIDA,STATE SENATE,035,SHEVRIN SHEV JONES,SHEVRIN (SHEV) JONES,DEMOCRAT,,,
FLORIDA,STATE SENATE,035,STATE SENATOR DIST 35,,,yes,,
FLORIDA,STATE SENATE,037,ALEX RODRIGUEZ,ALEX RODRIGUEZ,NO PARTY AFFILIATION,,,
FLORIDA,STATE SENATE,037,ILEANA GARCIA,ILEANA GARCIA,REPUBLICAN,,,
FLORIDA,STATE SENATE,037,JOSE JAVIER RODRIGUEZ,JOSE JAVIER RODRIGUEZ,DEMOCRAT,,,
FLORIDA,STATE SENATE,037,STATE SENATOR DIST 37,,,yes,,
FLORIDA,STATE SENATE,039,ANA MARIA RODRIGUEZ,ANA MARIA RODRIGUEZ,REPUBLICAN,,,
FLORIDA,STATE SENATE,039,CELSO D ALFONSO,CELSO D. ALFONSO,NO PARTY AFFILIATION,,,
FLORIDA,STATE SENATE,039,JAVIER E FERNANDEZ,JAVIER E. FERNANDEZ,DEMOCRAT,,,
FLORIDA,STATE SENATE,039,STATE SENATOR DIST 39,,,yes,,
FLORIDA,US HOUSE,1,ALBERT ORAM,ALBERT ORAM,NO PARTY AFFILIATION,,,
FLORIDA,US HOUSE,7,WILLIAM R GARLINGTON,WILLIAM R. GARLINGTON,NO PARTY AFFILIATION,,,
FLORIDA,US HOUSE,17,THEODORE PINK TIE MURRAY,THEODORE PINK TIE MURRAY,NO PARTY AFFILIATION,,,
FLORIDA,US HOUSE,18,K W MILLER,K.W. MILLER,NO PARTY AFFILIATION,,,
FLORIDA,US HOUSE,18,KW MILLER,K.W. MILLER,NO PARTY AFFILIATION,,,
FLORIDA,US HOUSE,21,CHARLESTON MALKEMUS,CHARLESTON MALKEMUS,NO PARTY AFFILIATION,,,
FLORIDA,US HOUSE,24,CHRISTINE ALEXANDRIA OLIVO,CHRISTINE ALEXANDRIA OLIVO,NO PARTY AFFILIATION,,,
FLORIDA,US HOUSE,001,ALBERT ORAM,ALBERT ORAM,NO PARTY AFFILIATION,,,
FLORIDA,US HOUSE,001,MATT GAETZ,MATT GAETZ,REPUBLICAN,,,
FLORIDA,US HOUSE,001,PHIL EHR,PHIL EHR,DEMOCRAT,,,
FLORIDA,US HOUSE,001,REPRESENTATIVE IN CONGRESS DISTRICT 1,,,yes,,
FLORIDA,US HOUSE,004,REPRESENTATIVE IN CONGRESS DISTRICT 4,,,yes,,
FLORIDA,US HOUSE,005,REPRESENTATIVE IN CONGRESS DISTRICT 5,,,yes,,
FLORIDA,US HOUSE,006,CLINT CURTIS,CLINT CURTIS,DEMOCRAT,,,
FLORIDA,US HOUSE,006,MICHAEL WALTZ,MICHAEL WALTZ,REPUBLICAN,,,
FLORIDA,US HOUSE,006,REPRESENTATIVE IN CONGRESS DISTRICT 6,,,yes,,
FLORIDA,US HOUSE,007,US REPRESENTATIVE DISTRICT 7,,,yes,,
FLORIDA,US HOUSE,007,WILLIAM R GARLINGTON,WILLIAM R. GARLINGTON,UNAFFILIATED,,,
FLORIDA,US HOUSE,008,US REPRESENTATIVE DISTRICT 8,,,yes,,
FLORIDA,US HOUSE,009,US REPRESENTATIVE DISTRICT 9,,,yes,,
FLORIDA,US HOUSE,010,US REPRESENTATIVE DISTRICT 10,,,yes,,
FLORIDA,US HOUSE,011,DANA MARIE COTTRELL,DANA MARIE COTTRELL,DEMOCRAT,,,
FLORIDA,US HOUSE,011,DANIEL WEBSTER,DANIEL WEBSTER,REPUBLICAN,,,
FLORIDA,US HOUSE,011,REPRESENTATIVE IN CONGRESS DISTRICT 11,,,yes,,
FLORIDA,US HOUSE,012,GUS MICHAEL BILIRAKIS,GUS MICHAEL BILIRAKIS,REPUBLICAN,,,
FLORIDA,US HOUSE,012,KIMBERLY WALKER,KIMBERLY WALKER,DEMOCRAT,,,
FLORIDA,US HOUSE,012,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,yes,,
FLORIDA,US HOUSE,015,ALAN COHN,ALAN COHN,DEMOCRAT,,,
FLORIDA,US HOUSE,015,REPRESENTATIVE IN CONGRESS DISTRICT 15,,,yes,,
FLORIDA,US HOUSE,015,SCOTT FRANKLIN,SCOTT FRANKLIN,REPUBLICAN,,,
FLORIDA,US HOUSE,023,CARLA SPALDING,CARLA SPALDING,REPUBLICAN,,,
FLORIDA,US HOUSE,023,DEBBIE WASSERMAN SCHULTZ,DEBBIE WASSERMAN SCHULTZ,DEMOCRAT,,,
FLORIDA,US HOUSE,023,REPRESENTATIVE CONGRESS DIST 23,,,yes,,
FLORIDA,US HOUSE,024,CHRISTINE ALEXANDRIA OLIVO,CHRISTINE ALEXANDRIA OLIVO,NO PARTY AFFILIATION,,,
FLORIDA,US HOUSE,024,FREDERICA WILSON,FREDERICA WILSON,DEMOCRAT,,,
FLORIDA,US HOUSE,024,LAVERN SPICER,LAVERN SPICER,REPUBLICAN,,,
FLORIDA,US HOUSE,024,REPRESENTATIVE CONGRESS DIST 24,,,yes,,
FLORIDA,US HOUSE,026,CARLOS GIMENEZ,CARLOS GIMENEZ,REPUBLICAN,,,
FLORIDA,US HOUSE,026,DEBBIE MUCARSELPOWELL,DEBBIE MUCARSEL-POWELL,DEMOCRAT,,,
FLORIDA,US HOUSE,026,REPRESENTATIVE CONGRESS DIST 26,,,yes,,
FLORIDA,US HOUSE,027,DONNA SHALALA,DONNA SHALALA,DEMOCRAT,,,
FLORIDA,US HOUSE,027,MARIA ELVIRA SALAZAR,MARIA ELVIRA SALAZAR,REPUBLICAN,,,
FLORIDA,US HOUSE,027,REPRESENTATIVE CONGRESS DIST 27,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,10250 310NORTH DEFUNIAK REP MATT GAETZ 74334 REP TONY ANDERSON 75985 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 NO 20 NO 20 NO 20 YES 10 YES 10 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,13031 510MIRAMAR BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 MICHAEL T NORRIS 76594 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 NO 20 YES 10 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,13448 510MIRAMAR BEACH DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 JOHN MM MAGEE 76595 DONNA JOHNS 77206 YES 10 NO 20 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,13881 310NORTH DEFUNIAK NPA ALBERT ORAM 75619 REP TONY ANDERSON 75985 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 YES 10 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,14897 430FREEPORT OVERVOTE DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 NO 20 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,15085 540ROSEMARY BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JOHN MM MAGEE 76595 MICHAEL T NORRIS 76594 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,15597 310NORTH DEFUNIAK REP MATT GAETZ 74334 REP TONY ANDERSON 75985 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 NO 20 NO 20 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,16718 430FREEPORT REP MATT GAETZ 74334 REP TONY ANDERSON 75985 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,17997 430FREEPORT NPA ALBERT ORAM 75619 DEM CAROLYNN ZONIA 75331 YES 10 NO 20 NO 20 NO 20 YES 10 NO 20 NO 20 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,18363 430FREEPORT DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,18475 430FREEPORT DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 YES 10 NO 20 NO 20 YES 10 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,19009 430FREEPORT OVERVOTE DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 NO 20 NO 20 YES 10 YES 10 NO 20 NO 20 YES 10 YES 10 NO 20 NO 20 YES 10 YES 10 YES 10 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,19021 430FREEPORT REP MATT GAETZ 74334 DEM CAROLYNN ZONIA 75331 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,20257 430FREEPORT REP MATT GAETZ 74334 REP TONY ANDERSON 75985 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,20264 430FREEPORT OVERVOTE REP MATT GAETZ 74334 REP TONY ANDERSON 75985 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,20949 540ROSEMARY BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 NO 20 YES 10 NO 20 NO 20 NO,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,21179 530PT WASHINGTON DEM PHIL EHR 74199 REP TONY ANDERSON 75985 JOHN MM MAGEE 76595 MICHAEL T NORRIS 76594 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,21753 430FREEPORT NPA ALBERT ORAM 75619 DEM CAROLYNN ZONIA 75331 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 YES 10 YES 10 NO 20 NO 20 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,22063 530PT WASHINGTON DEM PHIL EHR 74199 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,22371 530PT WASHINGTON REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JOHN MM MAGEE 76595 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 NO 20 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,22506 530PT WASHINGTON NPA ALBERT ORAM 75619 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 YES 10 YES 10 YES 10 NO 20 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,22965 130MOSSY HEAD DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,23317 310NORTH DEFUNIAK OVERVOTE REP MATT GAETZ 74334 REP TONY ANDERSON 75985 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,23518 110PAXTON OVERVOTE DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,24398 360VALLEY VIEW NPA ALBERT ORAM 75619 DEM CAROLYNN ZONIA 75331 NO 20 NO 20 NO 20 YES 10 NO 20 NO 20 NO 20 NO 20 YES 10 YES 10 YES 10 NO 20 NO 20 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,24805 510MIRAMAR BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JOHN MM MAGEE 76595 MICHAEL T NORRIS 76594 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 NO 20 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,25237 530PT WASHINGTON REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 MICHAEL T NORRIS 76594 YES 10 NO 20 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 NO 20 NO 20 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,25322 420PORTLAND DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,25624 530PT WASHINGTON REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JOHN MM MAGEE 76595 DONNA JOHNS 77206 YES 10 NO 20 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 NO 20 NO 20 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,26646 130MOSSY HEAD DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,26771 520SANTA ROSA BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 NO 20 YES 10 NO 20 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,26927 360VALLEY VIEW OVERVOTE REP MATT GAETZ 74334 REP TONY ANDERSON 75985 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,27121 220LIBERTY OVERVOTE REP MATT GAETZ 74334 REP TONY ANDERSON 75985 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,27416 530PT WASHINGTON DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 NO 20 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,29042 410CHOCTAW BEACH DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,29386 410CHOCTAW BEACH DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 NO 20 NO 20 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,33482 540ROSEMARY BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 NO 20 YES 10 NO 20 NO 20 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,34194 520SANTA ROSA BEACH DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 JOHN MM MAGEE 76595 MICHAEL T NORRIS 76594 YES 10 YES 10 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 YES 10 YES 10 NO 20 NO 20 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,34210 520SANTA ROSA BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 NO 20 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,34863 310NORTH DEFUNIAK OVERVOTE REP MATT GAETZ 74334 REP TONY ANDERSON 75985 NO 20 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 NO 20 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,35663 530PT WASHINGTON DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 JOHN MM MAGEE 76595 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,35904 530PT WASHINGTON REP MATT GAETZ 74334 DEM CAROLYNN ZONIA 75331 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,36000 530PT WASHINGTON OVERVOTE DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 JOHN MM MAGEE 76595 DONNA JOHNS 77206 YES 10 NO 20 YES 10 NO 20 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,36555 310NORTH DEFUNIAK DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,37977 430FREEPORT DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,38463 520SANTA ROSA BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,38466 520SANTA ROSA BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 MICHAEL T NORRIS 76594 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,38570 520SANTA ROSA BEACH OVERVOTE REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,38572 520SANTA ROSA BEACH OVERVOTE REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JOHN MM MAGEE 76595 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,38761 520SANTA ROSA BEACH OVERVOTE DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 JACK DOUGLAS LILES JR 77204 MICHAEL T NORRIS 76594 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,38833 520SANTA ROSA BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 NO 20 YES 10 NO 20 YES 10 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,39274 320CHAUTAUQUA OVERVOTE DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 FOR,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,3931 520SANTA ROSA BEACH NPA ALBERT ORAM 75619 REP TONY ANDERSON 75985 JOHN MM MAGEE 76595 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,39850 510MIRAMAR BEACH DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 NO 20 YES 10 NO 20 YES 10 NO 20 NO 20 NO,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,4002 520SANTA ROSA BEACH DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 NO 20 NO 20 NO 20 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,40104 540ROSEMARY BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 YES 10 NO 20 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 NO 20 NO 20 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,40347 520SANTA ROSA BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JOHN MM MAGEE 76595 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,41000 430FREEPORT NPA ALBERT ORAM 75619 DEM CAROLYNN ZONIA 75331 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 NO 20 YES 10 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,41010 430FREEPORT NPA ALBERT ORAM 75619 REP TONY ANDERSON 75985 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 NO 20 NO 20 YES 10 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,4157 530PT WASHINGTON REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JOHN MM MAGEE 76595 MICHAEL T NORRIS 76594 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,41759 340ARGYLE DEM PHIL EHR 74199 DEM CAROLYNN ZONIA 75331 NO 20 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES 10 NO 20 YES 10 YES 10 AGAINST,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,41785 540ROSEMARY BEACH REP MATT GAETZ 74334 REP TONY ANDERSON 75985 JACK DOUGLAS LILES JR 77204 DONNA JOHNS 77206 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES,,,yes,,
FLORIDA,US PRESIDENT,FEDERAL,41984 520SANTA ROSA BEACH DEM PHIL EHR 74199 REP TONY ANDERSON 75985 JOHN MM MAGEE 76595 MICHAEL T NORRIS 76594 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 YES 10 NO 20 YES 10 YES,,,yes,,
